DEBUG | 2020-01-26 00:03:39,923 | [er #1] | fire.Server.ServerJobCancellationWatcher | - No newly aborted jobs found.
DEBUG | 2020-01-26 00:03:44,928 | [er #1] | fire.Server.ServerJobCancellationWatcher | - Checking for aborted jobs...
DEBUG | 2020-01-26 00:03:44,928 | [er #1] | fire.Server.ServerJobCancellationWatcher | - No newly aborted jobs found.
DEBUG | 2020-01-26 00:03:49,931 | [er #1] | fire.Server.ServerJobCancellationWatcher | - Checking for aborted jobs...
DEBUG | 2020-01-26 00:03:49,934 | [er #1] | fire.Server.ServerJobCancellationWatcher | - No newly aborted jobs found.
DEBUG | 2020-01-26 00:03:54,938 | [er #1] | fire.Server.ServerJobCancellationWatcher | - Checking for aborted jobs...
DEBUG | 2020-01-26 00:03:54,938 | [er #1] | fire.Server.ServerJobCancellationWatcher | - No newly aborted jobs found.
DEBUG | 2020-01-26 00:03:59,945 | [er #1] | fire.Server.ServerJobCancellationWatcher | - Checking for aborted jobs...
DEBUG | 2020-01-26 00:03:59,945 | [er #1] | fire.Server.ServerJobCancellationWatcher | - No newly aborted jobs found.
DEBUG | 2020-01-26 00:04:04,956 | [er #1] | fire.Server.ServerJobCancellationWatcher | - Checking for aborted jobs...
DEBUG | 2020-01-26 00:04:04,957 | [er #1] | fire.Server.ServerJobCancellationWatcher | - No newly aborted jobs found.
DEBUG | 2020-01-26 00:04:07,951 | [ss #1] | Hangfire.Server.ServerHeartbeatProcess   | - Server rd00155db25e05:6784:a3fd6323 heartbeat successfully sent
DEBUG | 2020-01-26 00:04:07,951 | [ss #1] | Hangfire.Server.ServerHeartbeatProcess   | - Server rd00155db25e05:6784:a3fd6323 waiting for 00:00:30 delay before sending a heartbeat
DEBUG | 2020-01-26 00:04:09,970 | [er #1] | fire.Server.ServerJobCancellationWatcher | - Checking for aborted jobs...
DEBUG | 2020-01-26 00:04:09,970 | [er #1] | fire.Server.ServerJobCancellationWatcher | - No newly aborted jobs found.
DEBUG | 2020-01-26 00:04:14,981 | [er #1] | fire.Server.ServerJobCancellationWatcher | - Checking for aborted jobs...
DEBUG | 2020-01-26 00:04:14,981 | [er #1] | fire.Server.ServerJobCancellationWatcher | - No newly aborted jobs found.
DEBUG | 2020-01-26 00:04:19,991 | [er #1] | fire.Server.ServerJobCancellationWatcher | - Checking for aborted jobs...
DEBUG | 2020-01-26 00:04:19,991 | [er #1] | fire.Server.ServerJobCancellationWatcher | - No newly aborted jobs found.
DEBUG | 2020-01-26 00:04:25,006 | [er #1] | fire.Server.ServerJobCancellationWatcher | - Checking for aborted jobs...
DEBUG | 2020-01-26 00:04:25,006 | [er #1] | fire.Server.ServerJobCancellationWatcher | - No newly aborted jobs found.
DEBUG | 2020-01-26 00:04:30,013 | [er #1] | fire.Server.ServerJobCancellationWatcher | - Checking for aborted jobs...
DEBUG | 2020-01-26 00:04:30,015 | [er #1] | fire.Server.ServerJobCancellationWatcher | - No newly aborted jobs found.
DEBUG | 2020-01-26 00:04:35,020 | [er #1] | fire.Server.ServerJobCancellationWatcher | - Checking for aborted jobs...
DEBUG | 2020-01-26 00:04:35,020 | [er #1] | fire.Server.ServerJobCancellationWatcher | - No newly aborted jobs found.
DEBUG | 2020-01-26 00:04:37,972 | [ss #1] | Hangfire.Server.ServerHeartbeatProcess   | - Server rd00155db25e05:6784:a3fd6323 heartbeat successfully sent
DEBUG | 2020-01-26 00:04:37,987 | [ss #1] | Hangfire.Server.ServerHeartbeatProcess   | - Server rd00155db25e05:6784:a3fd6323 waiting for 00:00:30 delay before sending a heartbeat
DEBUG | 2020-01-26 00:04:40,029 | [er #1] | fire.Server.ServerJobCancellationWatcher | - Checking for aborted jobs...
DEBUG | 2020-01-26 00:04:40,029 | [er #1] | fire.Server.ServerJobCancellationWatcher | - No newly aborted jobs found.
DEBUG | 2020-01-26 00:04:45,040 | [er #1] | fire.Server.ServerJobCancellationWatcher | - Checking for aborted jobs...
DEBUG | 2020-01-26 00:04:45,040 | [er #1] | fire.Server.ServerJobCancellationWatcher | - No newly aborted jobs found.
DEBUG | 2020-01-26 00:04:50,046 | [er #1] | fire.Server.ServerJobCancellationWatcher | - Checking for aborted jobs...
DEBUG | 2020-01-26 00:04:50,047 | [er #1] | fire.Server.ServerJobCancellationWatcher | - No newly aborted jobs found.
DEBUG | 2020-01-26 00:04:55,053 | [er #1] | fire.Server.ServerJobCancellationWatcher | - Checking for aborted jobs...
DEBUG | 2020-01-26 00:04:55,053 | [er #1] | fire.Server.ServerJobCancellationWatcher | - No newly aborted jobs found.
DEBUG | 2020-01-26 00:05:00,066 | [er #1] | fire.Server.ServerJobCancellationWatcher | - Checking for aborted jobs...
DEBUG | 2020-01-26 00:05:00,066 | [er #1] | fire.Server.ServerJobCancellationWatcher | - No newly aborted jobs found.
DEBUG | 2020-01-26 00:05:05,093 | [er #1] | fire.Server.ServerJobCancellationWatcher | - Checking for aborted jobs...
DEBUG | 2020-01-26 00:05:05,093 | [er #1] | fire.Server.ServerJobCancellationWatcher | - No newly aborted jobs found.
DEBUG | 2020-01-26 00:05:07,992 | [ss #1] | Hangfire.Server.ServerHeartbeatProcess   | - Server rd00155db25e05:6784:a3fd6323 heartbeat successfully sent
DEBUG | 2020-01-26 00:05:07,992 | [ss #1] | Hangfire.Server.ServerHeartbeatProcess   | - Server rd00155db25e05:6784:a3fd6323 waiting for 00:00:30 delay before sending a heartbeat
DEBUG | 2020-01-26 00:05:10,106 | [er #1] | fire.Server.ServerJobCancellationWatcher | - Checking for aborted jobs...
DEBUG | 2020-01-26 00:05:10,106 | [er #1] | fire.Server.ServerJobCancellationWatcher | - No newly aborted jobs found.
DEBUG | 2020-01-26 00:05:15,117 | [er #1] | fire.Server.ServerJobCancellationWatcher | - Checking for aborted jobs...
DEBUG | 2020-01-26 00:05:15,117 | [er #1] | fire.Server.ServerJobCancellationWatcher | - No newly aborted jobs found.
DEBUG | 2020-01-26 00:05:20,120 | [er #1] | fire.Server.ServerJobCancellationWatcher | - Checking for aborted jobs...
DEBUG | 2020-01-26 00:05:20,120 | [er #1] | fire.Server.ServerJobCancellationWatcher | - No newly aborted jobs found.
DEBUG | 2020-01-26 00:05:25,126 | [er #1] | fire.Server.ServerJobCancellationWatcher | - Checking for aborted jobs...
DEBUG | 2020-01-26 00:05:25,126 | [er #1] | fire.Server.ServerJobCancellationWatcher | - No newly aborted jobs found.
DEBUG | 2020-01-26 00:05:27,433 | [or #1] | Hangfire.SqlServer.CountersAggregator    | - Aggregating records in 'Counter' table...
DEBUG | 2020-01-26 00:05:27,433 | [or #1] | Hangfire.SqlServer.CountersAggregator    | - Records from the 'Counter' table aggregated.
DEBUG | 2020-01-26 00:05:30,139 | [er #1] | fire.Server.ServerJobCancellationWatcher | - Checking for aborted jobs...
DEBUG | 2020-01-26 00:05:30,139 | [er #1] | fire.Server.ServerJobCancellationWatcher | - No newly aborted jobs found.
DEBUG | 2020-01-26 00:05:35,140 | [er #1] | fire.Server.ServerJobCancellationWatcher | - Checking for aborted jobs...
DEBUG | 2020-01-26 00:05:35,140 | [er #1] | fire.Server.ServerJobCancellationWatcher | - No newly aborted jobs found.
DEBUG | 2020-01-26 00:05:38,009 | [ss #1] | Hangfire.Server.ServerHeartbeatProcess   | - Server rd00155db25e05:6784:a3fd6323 heartbeat successfully sent
DEBUG | 2020-01-26 00:05:38,009 | [ss #1] | Hangfire.Server.ServerHeartbeatProcess   | - Server rd00155db25e05:6784:a3fd6323 waiting for 00:00:30 delay before sending a heartbeat
DEBUG | 2020-01-26 00:05:40,142 | [er #1] | fire.Server.ServerJobCancellationWatcher | - Checking for aborted jobs...
DEBUG | 2020-01-26 00:05:40,143 | [er #1] | fire.Server.ServerJobCancellationWatcher | - No newly aborted jobs found.
DEBUG | 2020-01-26 00:05:45,147 | [er #1] | fire.Server.ServerJobCancellationWatcher | - Checking for aborted jobs...
DEBUG | 2020-01-26 00:05:45,147 | [er #1] | fire.Server.ServerJobCancellationWatcher | - No newly aborted jobs found.
DEBUG | 2020-01-26 00:05:50,162 | [er #1] | fire.Server.ServerJobCancellationWatcher | - Checking for aborted jobs...
DEBUG | 2020-01-26 00:05:50,162 | [er #1] | fire.Server.ServerJobCancellationWatcher | - No newly aborted jobs found.
DEBUG | 2020-01-26 00:05:55,166 | [er #1] | fire.Server.ServerJobCancellationWatcher | - Checking for aborted jobs...
DEBUG | 2020-01-26 00:05:55,166 | [er #1] | fire.Server.ServerJobCancellationWatcher | - No newly aborted jobs found.
DEBUG | 2020-01-26 00:06:00,180 | [er #1] | fire.Server.ServerJobCancellationWatcher | - Checking for aborted jobs...
DEBUG | 2020-01-26 00:06:00,180 | [er #1] | fire.Server.ServerJobCancellationWatcher | - No newly aborted jobs found.
DEBUG | 2020-01-26 00:06:05,183 | [er #1] | fire.Server.ServerJobCancellationWatcher | - Checking for aborted jobs...
DEBUG | 2020-01-26 00:06:05,183 | [er #1] | fire.Server.ServerJobCancellationWatcher | - No newly aborted jobs found.
DEBUG | 2020-01-26 00:06:08,035 | [ss #1] | Hangfire.Server.ServerHeartbeatProcess   | - Server rd00155db25e05:6784:a3fd6323 heartbeat successfully sent
DEBUG | 2020-01-26 00:06:08,035 | [ss #1] | Hangfire.Server.ServerHeartbeatProcess   | - Server rd00155db25e05:6784:a3fd6323 waiting for 00:00:30 delay before sending a heartbeat
DEBUG | 2020-01-26 00:06:10,190 | [er #1] | fire.Server.ServerJobCancellationWatcher | - Checking for aborted jobs...
DEBUG | 2020-01-26 00:06:10,190 | [er #1] | fire.Server.ServerJobCancellationWatcher | - No newly aborted jobs found.
DEBUG | 2020-01-26 00:06:15,190 | [er #1] | fire.Server.ServerJobCancellationWatcher | - Checking for aborted jobs...
DEBUG | 2020-01-26 00:06:15,190 | [er #1] | fire.Server.ServerJobCancellationWatcher | - No newly aborted jobs found.
DEBUG | 2020-01-26 00:06:20,193 | [er #1] | fire.Server.ServerJobCancellationWatcher | - Checking for aborted jobs...
DEBUG | 2020-01-26 00:06:20,195 | [er #1] | fire.Server.ServerJobCancellationWatcher | - No newly aborted jobs found.
DEBUG | 2020-01-26 00:06:25,205 | [er #1] | fire.Server.ServerJobCancellationWatcher | - Checking for aborted jobs...
DEBUG | 2020-01-26 00:06:25,205 | [er #1] | fire.Server.ServerJobCancellationWatcher | - No newly aborted jobs found.
DEBUG | 2020-01-26 00:06:30,212 | [er #1] | fire.Server.ServerJobCancellationWatcher | - Checking for aborted jobs...
DEBUG | 2020-01-26 00:06:30,213 | [er #1] | fire.Server.ServerJobCancellationWatcher | - No newly aborted jobs found.
DEBUG | 2020-01-26 00:06:35,225 | [er #1] | fire.Server.ServerJobCancellationWatcher | - Checking for aborted jobs...
